Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
26-07-2024 14:00,14:00:00,CNR7153255142,canceled by driver,CID713523,Prime Sedan,Tumkur Road,RT Nagar,,,,Personal & Car related issue,,,444,,0,3.8,3.993771736
25-07-2024 22:20,22:20:00,CNR2940424040,success,CID225428,Bike,Magadi Road,Varthur,203.0,30.0,,,no,,158,cash,13,4.0,4.0
30-07-2024 19:59,19:59:00,CNR2982357879,success,CID270156,Prime SUV,Sahakar Nagar,Varthur,238.0,130.0,,,no,,386,upi,40,3.7,4.8
22-07-2024 03:15,03:15:00,CNR2395710036,canceled by customer,CID581320,eBike,HSR Layout,Vijayanagar,,,Driver is not moving towards pickup location,,,,384,,0,4.3,3.993771736
02-07-2024 09:02,09:02:00,CNR1797421769,success,CID939555,Mini,Rajajinagar,Chamarajpet,252.0,80.0,,,no,,822,credit card,45,3.2,3.0
13-07-2024 04:42,04:42:00,CNR8787177882,success,CID802429,Mini,Kadugodi,Vijayanagar,231.0,90.0,,,no,,173,upi,41,3.4,4.6
23-07-2024 09:51,09:51:00,CNR3612067560,success,CID476071,Bike,Tumkur Road,Whitefield,133.0,40.0,,,no,,140,cash,49,4.7,4.5
11-07-2024 11:12,11:12:00,CNR5374902489,canceled by driver,CID735691,Prime Plus,Bannerghatta Road,Sarjapur Road,,,,Personal & Car related issue,,,344,,0,4.4,3.993771736
01-07-2024 19:19,19:19:00,CNR5030602354,driver not found,CID999840,Mini,Chamarajpet,Peenya,,,,,,,839,,0,4.6,3.993771736
18-07-2024 01:31,01:31:00,CNR6328453219,canceled by driver,CID907133,Auto,RT Nagar,Varthur,,,,Personal & Car related issue,,,893,,0,3.2,3.993771736
29-07-2024 23:33,23:33:00,CNR4787583516,success,CID923404,Prime Plus,Hosur Road,Jayanagar,35.0,55.0,,,no,,164,cash,46,4.7,3.4
26-07-2024 04:03,04:03:00,CNR7943634301,success,CID647026,Prime Plus,Kammanahalli,Rajajinagar,238.0,95.0,,,no,,399,cash,18,3.8,4.4
27-07-2024 13:18,13:18:00,CNR4524472111,success,CID540929,Auto,Cox Town,Yelahanka,126.0,35.0,,,no,,330,upi,8,4.0,4.8
17-07-2024 18:55,18:55:00,CNR3914552212,canceled by driver,CID557845,Auto,Hosur Road,Banashankari,,,,Personal & Car related issue,,,427,,0,3.2,3.993771736
16-07-2024 09:54,09:54:00,CNR8181602032,success,CID167642,Bike,Indiranagar,MG Road,70.0,95.0,,,no,,378,upi,18,3.8,4.1
02-07-2024 10:25,10:25:00,CNR8090918544,success,CID640151,Bike,Magadi Road,HSR Layout,126.0,95.0,,,no,,343,upi,23,4.6,3.6
02-07-2024 23:50,23:50:00,CNR3211335290,driver not found,CID630354,Mini,Ramamurthy Nagar,BTM Layout,,,,,,,366,,0,4.7,3.993771736
05-07-2024 23:42,23:42:00,CNR3196156650,success,CID243275,Bike,Electronic City,Langford Town,140.0,40.0,,,no,,401,cash,8,3.3,3.9
09-07-2024 11:11,11:11:00,CNR9975925287,success,CID162055,Prime SUV,Magadi Road,RT Nagar,42.0,30.0,,,no,,343,upi,17,3.0,3.8
12-07-2024 14:44,14:44:00,CNR1591113431,success,CID902781,eBike,Koramangala,Sarjapur Road,245.0,70.0,,,no,,2014,cash,33,3.5,4.9
11-07-2024 20:42,20:42:00,CNR3650331573,success,CID217093,eBike,Basavanagudi,Hulimavu,84.0,25.0,,,no,,650,cash,34,4.7,3.4
08-07-2024 22:33,22:33:00,CNR6013805089,success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,168.0,65.0,,,no,,231,cash,2,3.8,3.7
16-07-2024 10:17,10:17:00,CNR4306636052,canceled by driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,,,,Customer was coughing/sick,,,909,,0,4.7,3.993771736
03-07-2024 18:20,18:20:00,CNR9832070187,success,CID655872,Bike,Koramangala,BTM Layout,231.0,145.0,,,no,,189,cash,6,4.4,3.3
03-07-2024 21:17,21:17:00,CNR5620539253,success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,56.0,105.0,,,no,,311,cash,28,4.8,3.0
19-07-2024 21:18,21:18:00,CNR4443921904,success,CID654618,Mini,Tumkur Road,Koramangala,231.0,50.0,,,no,,286,upi,44,4.5,3.3
25-07-2024 03:44,03:44:00,CNR7194303296,success,CID538245,Mini,Mysore Road,Hennur,175.0,50.0,,,no,,141,upi,35,3.5,3.1
15-07-2024 17:11,17:11:00,CNR6494005067,success,CID805360,Auto,Yelahanka,Malleshwaram,84.0,60.0,,,no,,214,upi,2,4.2,4.5
30-07-2024 19:44,19:44:00,CNR6805579107,success,CID810214,Prime SUV,Indiranagar,Indiranagar,35.0,145.0,,,no,,2183,cash,20,4.9,4.4
21-07-2024 08:26,08:26:00,CNR6003663433,canceled by customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,,,Driver asked to cancel,,,,604,,0,3.5,3.993771736
23-07-2024 07:04,07:04:00,CNR2998177390,driver not found,CID946041,Auto,RT Nagar,Yelahanka,,,,,,,802,,0,3.9,3.993771736
27-07-2024 06:18,06:18:00,CNR7979458138,success,CID978509,eBike,Frazer Town,Indiranagar,189.0,65.0,,,no,,1095,cash,38,4.0,4.7
23-07-2024 10:17,10:17:00,CNR7286474506,canceled by customer,CID500806,eBike,Jayanagar,Richmond Town,,,Driver is not moving towards pickup location,,,,120,,0,3.3,3.993771736
23-07-2024 12:56,12:56:00,CNR9820692957,success,CID625327,Prime Sedan,Koramangala,Hosur Road,49.0,85.0,,,no,,241,cash,33,3.1,3.5
08-07-2024 11:52,11:52:00,CNR4094067439,success,CID896062,Prime Sedan,Majestic,Jayanagar,77.0,140.0,,,no,,475,cash,45,3.5,3.1
14-07-2024 05:25,05:25:00,CNR7142279862,success,CID378034,eBike,Yeshwanthpur,JP Nagar,210.0,45.0,,,no,,461,upi,49,4.3,3.1
23-07-2024 09:33,09:33:00,CNR5488574120,canceled by driver,CID169284,Auto,Peenya,Hosur Road,,,,Customer related issue,,,783,,0,4.8,3.993771736
03-07-2024 16:16,16:16:00,CNR8148468821,canceled by driver,CID347094,Prime Plus,Marathahalli,BTM Layout,,,,Customer was coughing/sick,,,995,,0,4.8,3.993771736
03-07-2024 00:58,00:58:00,CNR5176704322,success,CID296026,Prime Plus,KR Puram,Hennur,287.0,40.0,,,yes,Customer Demand,1102,upi,41,4.3,3.5
24-07-2024 17:31,17:31:00,CNR9287248724,canceled by driver,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,,,,Customer related issue,,,170,,0,4.2,3.993771736
10-07-2024 21:56,21:56:00,CNR7547352327,success,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,210.0,105.0,,,no,,444,upi,6,4.9,4.9
20-07-2024 15:30,15:30:00,CNR9660405769,canceled by driver,CID483311,eBike,Electronic City,Varthur,,,,Customer related issue,,,1130,,0,4.5,3.993771736
11-07-2024 03:22,03:22:00,CNR4251304471,success,CID888740,Prime SUV,Shivajinagar,Jayanagar,294.0,145.0,,,no,,876,cash,21,3.8,3.3
06-07-2024 15:02,15:02:00,CNR1568684278,success,CID709612,Prime Plus,Bannerghatta Road,Majestic,42.0,90.0,,,no,,680,upi,24,3.3,3.8
05-07-2024 20:28,20:28:00,CNR2230045814,success,CID961125,Prime SUV,Cox Town,Chamarajpet,266.0,65.0,,,no,,425,cash,11,3.9,4.6
